"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2023","110.50","110.50","110.50","110.50","","0.45%"
"07/20/2023","110.00","110.00","110.00","110.00","0.10K","1.38%"
"07/19/2023","108.50","108.50","108.50","108.50","","0.14%"
"07/18/2023","108.35","108.35","108.35","108.35","","4.03%"
"07/17/2023","104.15","104.15","104.15","104.15","","0.29%"
"07/14/2023","103.85","103.85","103.85","103.85","","0.10%"
"07/13/2023","103.75","103.75","103.75","103.75","","-0.72%"
"07/12/2023","104.50","104.50","104.50","104.50","","-1.32%"
"07/11/2023","105.90","105.90","105.90","105.90","","-5.02%"
"07/10/2023","111.50","111.50","111.50","111.50","","-3.59%"
"07/07/2023","115.65","115.65","115.65","115.65","","-1.36%"
"07/06/2023","117.25","117.25","117.25","117.25","","-4.95%"
"07/05/2023","123.35","123.35","123.35","123.35","","1.61%"
"07/03/2023","121.40","121.40","121.40","121.40","","5.03%"
"06/30/2023","115.59","115.59","115.59","115.59","","0.82%"
"06/29/2023","114.65","114.65","114.65","114.65","","0.00%"
"06/28/2023","114.65","114.65","114.65","114.65","","0.00%"
"06/27/2023","114.65","114.65","114.65","114.65","","0.00%"
"06/26/2023","114.65","114.65","114.65","114.65","","-0.30%"
"06/23/2023","115.00","115.00","115.00","115.00","","-0.56%"
"06/22/2023","115.65","115.65","115.65","115.65","","-0.52%"
"06/21/2023","116.25","116.25","116.25","116.25","","-0.43%"
"06/20/2023","116.75","116.75","116.75","116.75","","1.83%"
"06/16/2023","114.65","114.65","114.65","114.65","","-1.46%"
"06/15/2023","116.35","116.35","116.35","116.35","","-0.26%"
"06/14/2023","116.65","116.65","116.65","116.65","","0.34%"
"06/13/2023","116.25","116.25","116.25","116.25","","1.31%"
"06/12/2023","114.75","114.75","114.75","114.75","","-1.21%"
"06/09/2023","116.15","116.15","116.15","116.15","","3.24%"
"06/08/2023","112.50","112.50","112.50","112.50","","2.51%"
"06/07/2023","109.75","109.75","109.75","109.75","","4.03%"
"06/06/2023","105.50","105.50","105.50","105.50","","-4.83%"
"06/05/2023","110.85","110.85","110.85","110.85","","10.13%"
"06/02/2023","100.65","100.65","100.65","100.65","","7.25%"
"06/01/2023","93.85","93.85","93.85","93.85","","-1.31%"
"05/31/2023","95.10","95.10","95.10","95.10","0.01K","1.98%"
