Country Code,Rounded Coordinates
IRL,"[(52.0, -6.25), (52.0, -6.875), (51.5, -9.375), (52.0, -9.375), (52.5, -10.0), (53.5, -8.125), (52.5, -7.5), (53.0, -8.75), (53.0, -8.125), (54.0, -9.375), (54.5, -10.0), (53.5, -6.25), (54.0, -6.25), (55.0, -8.75), (53.5, -9.375), (55.0, -8.125), (55.5, -6.875), (54.5, -7.5), (54.0, -6.875), (53.5, -6.875), (52.0, -10.0), (52.0, -10.625), (52.0, -7.5), (52.5, -8.75), (51.5, -10.0), (52.5, -8.125), (54.0, -10.0), (53.0, -6.25), (53.0, -6.875), (54.0, -7.5), (53.0, -9.375), (53.5, -10.0), (54.5, -8.75), (54.5, -8.125), (55.0, -6.875), (53.5, -7.5), (55.5, -7.5), (52.0, -8.125), (52.0, -8.75), (53.0, -7.5), (52.5, -6.25), (52.5, -6.875), (51.5, -8.125), (51.5, -8.75), (52.5, -9.375), (54.0, -8.125), (54.0, -8.75), (54.5, -6.875), (53.5, -8.75), (54.5, -9.375), (55.0, -7.5)]"
ESP,"[(36.5, -6.25), (37.5, -7.5), (41.0, -6.875), (41.0, -6.25), (42.0, -7.5), (42.0, 2.5), (40.0, -5.920304394294029e-13), (41.5, 2.5), (43.5, -1.875), (43.5, -1.25), (42.5, 1.25), (42.5, 1.875), (39.5, -5.920304394294029e-13), (39.0, -4.375), (38.0, -2.5), (40.0, -5.625), (40.0, -5.0), (40.0, 4.375), (39.5, -5.625), (39.5, -5.0), (41.5, -5.920304394294029e-13), (37.5, -5.625), (37.5, -5.0), (37.0, -1.875), (42.0, -5.625), (44.0, -8.125), (42.0, -5.0), (41.5, -5.625), (43.5, -8.75), (43.5, -8.125), (41.5, -5.0), (42.5, -6.875), (42.5, -6.25), (43.0, -4.375), (42.5, 3.125), (43.0, -8.125), (35.5, -3.125), (38.0, -0.625), (40.0, -3.75), (40.0, -3.125), (39.5, -3.75), (39.5, -3.125), (40.5, -4.375), (37.5, -3.75), (37.5, -3.125), (42.0, -3.75), (42.0, -3.125), (38.5, -2.5), (41.5, -3.75), (43.5, -6.875), (43.5, -6.25), (41.0, 1.875), (41.0, 1.25), (41.5, -3.125), (42.5, -4.375), (43.0, -2.5), (38.0, -7.5), (40.0, -1.875), (40.0, -1.25), (39.5, -1.875), (39.5, -1.25), (40.5, -2.5), (36.0, -5.625), (36.0, -5.0), (37.0, -6.25), (37.0, -6.875), (37.5, -1.25), (37.5, -1.875), (38.5, -0.625), (43.0, -9.375), (43.5, -4.375), (41.5, -1.875), (41.5, -1.25), (43.0, -0.625), (43.0, 0.625), (42.5, -2.5), (38.0, -5.625), (38.0, -5.0), (40.5, 0.625), (40.5, -0.625), (37.0, -4.375), (42.0, -5.920304394294029e-13), (36.5, -4.375), (38.5, -7.5), (42.5, -9.375), (41.0, -4.375), (43.0, -7.5), (41.5, 1.875), (41.5, 1.25), (42.5, 0.625), (42.5, -0.625), (38.0, -3.75), (38.0, -3.125), (39.5, -6.875), (39.5, -6.25), (39.0, -2.5), (39.5, 3.125), (39.5, 3.75), (38.5, -5.920304394294029e-13), (43.0, -5.920304394294029e-13), (37.0, -2.5), (36.5, -2.5), (38.5, -5.625), (41.5, -6.25), (38.5, -5.0), (42.5, -7.5), (41.0, -2.5), (43.0, -5.625), (43.0, -5.0), (42.5, 2.5), (40.5, -5.920304394294029e-13), (39.5, -4.375), (40.5, -5.625), (39.0, -0.625), (40.5, -5.0), (38.5, -3.75), (38.5, -3.125), (42.5, -5.625), (41.0, 0.625), (41.0, -0.625), (42.0, -1.875), (42.0, -1.25), (42.5, -5.0), (43.0, -3.75), (43.0, -3.125), (39.0, -7.5), (40.5, -3.75), (40.5, -3.125), (36.0, -6.25), (37.0, -7.5), (38.5, -1.875), (42.0, -8.125), (42.0, -8.75), (38.5, -1.25), (42.5, -3.75), (43.0, -1.25), (42.0, 1.25), (39.0, -5.920304394294029e-13), (42.0, 1.875), (42.5, -3.125), (43.0, -1.875), (43.5, -2.5), (39.0, -5.625), (39.0, -5.0), (40.0, -6.875), (40.0, -6.25), (40.5, -1.875), (40.5, -1.25), (40.0, 3.125), (40.0, 3.75), (41.0, -5.920304394294029e-13), (37.0, -5.625), (37.0, -5.0), (36.5, -5.0), (36.5, -5.625), (37.5, -6.875), (37.5, -6.25), (41.0, -5.625), (38.5, 1.875), (38.5, 1.25), (42.0, -6.25), (42.0, -6.875), (43.0, -8.75), (43.0, 1.25), (42.0, 3.125), (41.0, -5.0), (42.5, -1.875), (42.5, -1.25), (41.5, 3.125), (39.0, -3.75), (38.0, -1.875), (38.0, -1.25), (39.0, -3.125), (40.0, -4.375), (37.0, -3.75), (37.0, -3.125), (36.5, -3.125), (36.5, -3.75), (38.5, -6.875), (42.5, -5.920304394294029e-13), (42.5, -8.75), (37.5, -4.375), (38.5, -6.25), (41.0, -3.75), (41.0, -3.125), (42.0, -4.375), (42.5, -8.125), (43.0, -6.875), (43.0, -6.25), (41.5, -4.375), (43.5, -7.5), (40.5, -6.875), (39.0, -1.875), (39.0, -1.25), (40.0, -2.5), (40.5, -6.25), (39.5, -2.5), (36.5, -1.875), (38.5, -4.375), (37.5, -2.5), (41.0, -1.875), (41.0, -1.25), (42.0, -2.5), (41.5, -2.5), (43.5, -5.625), (43.5, -5.0), (38.0, -6.875), (38.0, -6.25), (39.0, 1.25), (39.0, 1.875), (40.0, -0.625), (39.5, -0.625), (37.5, -0.625), (42.0, -0.625), (42.0, 0.625), (41.5, -0.625), (43.5, -3.75), (43.5, -3.125), (41.5, 0.625), (39.0, -6.875), (38.0, -4.375), (39.0, -6.25), (40.0, 2.5), (39.5, -7.5), (39.5, 2.5)]"
CHE,"[(47.0, 7.5), (47.5, 6.875), (47.0, 10.625), (47.0, 10.0), (47.5, 9.375), (48.0, 8.75), (46.0, 8.75), (46.0, 8.125), (46.5, 7.5), (46.5, 10.625), (46.5, 10.0), (47.0, 6.25), (47.0, 6.875), (47.0, 9.375), (47.5, 8.125), (47.5, 8.75), (46.0, 7.5), (46.5, 6.875), (46.5, 6.25), (46.0, 10.0), (46.5, 9.375), (47.0, 8.125), (47.5, 7.5), (47.0, 8.75), (46.0, 6.875), (46.0, 6.25), (46.0, 9.375), (46.5, 8.125), (46.5, 8.75)]"
,[]
AUT,"[(48.0, 15.0), (48.5, 14.375), (48.0, 15.625), (47.0, 13.125), (47.0, 13.75), (47.0, 10.625), (47.0, 16.25), (47.0, 10.0), (47.5, 9.375), (47.5, 15.0), (47.5, 12.5), (47.5, 15.625), (46.5, 13.75), (46.5, 13.125), (49.0, 16.25), (49.0, 16.875), (48.5, 13.125), (48.5, 13.75), (49.0, 13.75), (48.0, 14.375), (48.5, 16.875), (48.5, 16.25), (47.0, 9.375), (47.0, 12.5), (47.5, 11.25), (47.5, 11.875), (47.0, 15.0), (47.0, 15.625), (47.5, 14.375), (46.5, 15.625), (46.5, 15.0), (48.0, 13.125), (46.5, 12.5), (48.0, 16.875), (48.0, 16.25), (48.5, 15.0), (49.0, 15.0), (49.0, 15.625), (48.0, 13.75), (48.5, 15.625), (47.0, 11.875), (47.0, 11.25), (47.0, 14.375), (47.5, 13.125), (47.5, 13.75), (47.5, 10.0), (47.5, 16.875), (47.5, 16.25), (47.5, 10.625), (48.0, 12.5), (46.5, 14.375)]"
PRT,"[(37.0, -25.0), (38.0, -25.0), (38.0, -25.625), (37.5, -25.625), (37.5, -25.0)]"
LUX,"[(49.5, 5.625), (50.0, 5.625), (49.5, 6.25), (50.0, 6.25)]"
VAT,"[(42.0, 12.5)]"
EST,"[(57.5, 26.875), (57.5, 26.25), (59.5, 23.75), (59.5, 26.25), (59.5, 26.875), (59.0, 21.875), (58.0, 25.625), (58.0, 25.0), (59.0, 24.375), (58.0, 22.5), (58.0, 28.125), (58.5, 21.875), (58.5, 27.5), (59.0, 27.5), (58.5, 24.375), (59.5, 25.0), (59.5, 25.625), (59.5, 28.125), (59.0, 23.125), (58.0, 21.875), (58.0, 27.5), (59.0, 23.75), (59.0, 26.25), (58.0, 24.375), (58.5, 23.125), (58.5, 23.75), (59.0, 26.875), (58.5, 26.25), (58.5, 26.875), (57.5, 27.5), (59.5, 27.5), (59.5, 24.375), (59.0, 25.0), (59.0, 25.625), (58.5, 22.5), (59.0, 22.5), (59.0, 28.125), (58.0, 26.25), (58.0, 26.875), (58.5, 25.0), (58.5, 25.625)]"
POL,"[(49.0, 23.125), (53.0, 14.375), (49.5, 22.5), (54.5, 18.75), (53.0, 23.75), (54.5, 18.125), (53.0, 23.125), (54.0, 22.5), (51.0, 16.25), (51.0, 16.875), (52.0, 15.0), (50.5, 23.75), (50.5, 23.125), (52.0, 15.625), (52.5, 20.0), (52.5, 20.625), (53.0, 16.25), (53.0, 16.875), (54.0, 15.0), (54.0, 15.625), (54.5, 20.0), (54.5, 20.625), (50.5, 16.875), (50.5, 16.25), (51.0, 18.125), (50.0, 20.0), (50.0, 20.625), (51.0, 18.75), (52.0, 17.5), (52.5, 22.5), (53.0, 18.125), (53.0, 18.75), (54.0, 17.5), (53.5, 17.5), (50.5, 18.125), (52.5, 15.0), (50.5, 18.75), (50.0, 22.5), (51.0, 20.0), (51.0, 20.625), (52.0, 19.375), (52.5, 15.625), (51.5, 19.375), (49.5, 19.375), (53.0, 20.0), (53.0, 20.625), (54.0, 19.375), (53.5, 19.375), (50.5, 20.0), (50.5, 20.625), (51.0, 22.5), (52.0, 21.25), (52.0, 21.875), (51.5, 21.25), (51.5, 21.875), (49.5, 21.875), (49.5, 21.25), (54.0, 21.25), (54.0, 21.875), (53.5, 21.25), (53.5, 21.875), (51.0, 15.625), (50.0, 17.5), (51.0, 15.0), (52.0, 14.375), (52.0, 23.125), (52.0, 23.75), (51.5, 14.375), (51.5, 23.75), (51.5, 23.125), (54.0, 14.375), (54.0, 23.75), (54.0, 23.125), (53.5, 14.375), (53.5, 23.75), (53.5, 23.125), (54.5, 22.5), (50.0, 19.375), (52.0, 16.25), (52.0, 16.875), (51.5, 16.25), (51.5, 16.875), (49.0, 20.0), (54.0, 16.25), (54.0, 16.875), (53.5, 16.25), (53.5, 16.875), (55.0, 17.5), (50.0, 21.25), (50.0, 21.875), (52.0, 18.125), (52.0, 18.75), (51.5, 18.125), (51.5, 18.75), (52.5, 17.5), (49.5, 18.75), (49.0, 22.5), (54.0, 18.125), (54.0, 18.75), (53.5, 18.125), (53.5, 18.75), (54.5, 17.5), (53.0, 22.5), (50.0, 23.75), (50.0, 23.125), (52.0, 20.0), (52.0, 20.625), (51.5, 20.0), (50.5, 22.5), (51.5, 20.625), (51.0, 24.375), (52.5, 19.375), (49.5, 20.625), (49.5, 20.0), (53.0, 15.0), (53.0, 15.625), (53.5, 20.0), (53.5, 20.625), (54.5, 19.375), (50.0, 16.875), (50.0, 16.25), (50.5, 15.625), (51.0, 17.5), (51.5, 22.5), (50.5, 24.375), (52.5, 21.25), (52.5, 21.875), (53.0, 17.5), (53.5, 22.5), (54.5, 21.875), (54.5, 21.25), (50.0, 18.75), (50.0, 18.125), (51.5, 15.0), (50.5, 17.5), (52.5, 14.375), (51.0, 19.375), (51.5, 15.625), (52.5, 23.75), (52.5, 23.125), (53.5, 15.0), (53.5, 15.625), (53.0, 19.375), (54.5, 23.125), (51.5, 17.5), (50.5, 19.375), (52.5, 16.25), (51.0, 21.25), (51.0, 21.875), (52.5, 16.875), (49.0, 21.875), (54.5, 16.25), (54.5, 16.875), (55.0, 18.125), (55.0, 18.75), (53.0, 21.25), (53.0, 21.875), (54.0, 20.0), (54.0, 20.625), (50.5, 21.25), (50.5, 21.875), (51.0, 23.75), (51.0, 23.125), (52.0, 22.5), (52.5, 18.125), (52.5, 18.75)]"
