,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1",$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1
0,-101.6898322,,-122.1388066,,-22.16366653,,-97.67271172,,-106.3869046,4.720753234,-99.35334068,74.43170365,-103.0937605,35.21332263,-122.1672211,,-100.53771,,-21.54812623,
1,-100.4745155,,-92.50555537,,-22.47890825,,-62.66984672,,-74.38050407,-26.24541733,-85.96852574,61.19544651,-87.66353581,72.72586037,-96.66063482,,-112.3803615,,-24.54472271,
2,-96.56693813,,-100.6170894,,-21.14388361,,-69.55441672,,-117.9863081,21.55174511,-96.05729082,72.31613094,-94.09458759,77.41766243,-88.98909479,,-94.00687139,,-21.26083131,
3,-104.37757,,-98.20122532,,-23.24889141,,-71.19272964,,-93.7801389,-10.65815082,-97.27514691,71.23569016,-97.79146162,79.46676564,-98.55329558,,-93.17776701,,-20.5281427,
4,-100.400143,,-104.834377,,-21.33925605,,-106.4236906,,-119.7054703,19.41732399,-105.8376003,81.50702464,-107.9641107,71.61086381,-101.2785313,,-98.54032531,,-21.75789472,
5,-99.53761248,,-96.86566726,,-21.68513249,,-74.3166749,,-68.25081981,-31.51163654,-93.10719704,69.01633776,-80.27859354,17.67072498,-117.5741885,,-93.20374991,,-20.02651554,
6,-101.115511,,-54.83115245,,-21.74037116,,-68.00548681,,-66.98220762,-34.35825735,-89.41369124,65.36621152,-85.17085527,47.06591129,-72.55009317,,-104.5945542,,-22.1455048,
7,-96.10426525,,-101.3052123,,-21.54080764,,-60.90730426,,-84.26710925,-11.90968929,-83.39877493,59.71743716,-83.48536151,68.2863587,-95.13231392,,-91.98872696,,-20.32843816,
8,-102.5975816,,-81.62584673,,-23.006837,,-70.73905725,,-71.14923586,-31.64847563,-85.1526106,59.85902393,-81.23054411,35.23859717,-82.44416407,,-108.7055689,,-23.81079697,
9,-101.4758452,,-114.1124318,,-21.08867215,,-89.54969247,,-98.8196348,-2.670181979,-95.68637371,72.08825265,-96.2785055,55.76478114,-102.536132,,-99.99825709,,-22.65718071,
10,-98.32156641,,-69.28644085,,-22.13105754,,-47.3287792,,-45.74504782,-52.87601991,-84.30629715,59.99800248,-89.80531208,75.13797782,-104.5520858,,-95.5611749,,-20.82275345,
11,-91.91506241,,-89.89472931,,-20.20612648,,-72.90863085,,-81.28938155,-10.68691756,-93.1675137,70.60896727,-93.38034406,71.99782174,-111.023347,,-96.95010296,,-20.68591976,
12,-90.47289732,,-81.58415941,,-20.21102864,,-68.94227106,,-94.74795645,4.291461644,-99.83711514,77.01089997,-100.3421746,82.65088724,-96.43498869,,-101.6301882,,-23.06723598,
13,-87.9756519,,-84.91807506,,-19.7836378,,-52.6693071,,-96.05556689,8.130370222,-97.25192348,75.01073998,-98.31184079,93.00921478,-94.38281125,,-91.19539826,,-19.65312737,
14,-98.12390871,,-107.2871432,,-20.73722285,,-87.66021999,,-100.4699839,2.374639961,-93.2880811,70.13550497,-95.5169124,47.29446712,-103.6912772,,-92.44278394,,-20.10061702,
15,-102.5540739,,-83.689748,,-21.97481573,,-63.1962044,,-69.53445177,-33.26210404,-85.39613716,61.2549314,-84.53355189,56.46787853,-88.74007106,,-96.46616196,,-21.08098861,
16,-105.5163311,,-105.4978897,,-22.97732894,,-87.21676373,,-100.9410004,-4.604316767,-99.54430771,73.70799221,-99.61248992,65.3847936,-103.7572454,,-96.69175274,,-21.16938706,
17,-100.9951122,,-110.8331904,,-21.9051303,,-90.84553639,,-102.0565363,1.082355825,-102.8393826,78.07097132,-102.5370204,60.53004311,-116.3716851,,-104.5733364,,-22.08044103,
18,-96.38287845,,-98.4410411,,-21.0318543,,-76.56517474,,-93.88285611,-2.516183866,-97.58275356,73.98410066,-97.7312787,76.42894901,-100.4360991,,-89.93044269,,-20.40544405,
19,-104.7957755,,-67.3068365,,-22.63178839,,-71.43570622,,-70.23179558,-34.81982456,-93.15674274,67.99785627,-89.06925523,50.18775341,-81.20620906,,-105.1629617,,-22.19682586,
20,-107.8722921,,-78.7965195,,-23.90051729,,-64.45296711,,-63.35831464,-44.83985172,-91.88040566,65.43034084,-93.47020837,71.33119325,-94.77223727,,-101.9056067,,-21.72941682,
21,-91.80428333,,-69.87954741,,-20.01002027,,-68.99886009,,-79.75380288,-12.12052761,-92.01030908,69.7143783,-90.78498053,62.05029082,-90.35587981,,-103.4911853,,-21.75862899,
22,-103.3045793,,-88.19545933,,-21.99716792,,-97.76811656,,-121.6656494,18.47611922,-113.7843521,88.48273627,-114.422534,81.96870611,-98.00635621,,-102.959425,,-22.53562908,
23,-97.08317881,,-105.6445414,,-20.33909332,,-91.78286602,,-105.6009013,8.565800434,-93.54671988,70.79761002,-95.58518915,59.78203758,-95.05602185,,-96.13932102,,-21.48255721,
24,-103.1753303,,-105.0898393,,-22.11713922,,-75.53752752,,-111.6144339,8.497464334,-95.50354247,70.77255127,-94.73981726,74.11133724,-102.9316203,,-99.74310947,,-21.5665207,
25,-104.2488277,,-118.1907541,,-22.2570859,,-60.20483195,,-107.1153306,2.87964113,-88.11694604,63.48470671,-86.09306742,71.12568424,-94.4121604,,-100.0534147,,-22.11197823,
26,-104.8628424,,-105.2589901,,-22.1951976,,-75.56872253,,-97.83588662,-7.071977148,-94.20432197,69.43377657,-94.15339079,71.11880195,-99.25558674,,-99.1073287,,-21.5853798,
27,-89.53020714,,-84.77225435,,-19.2076254,,-72.609234,,-82.71060063,-6.850696777,-92.04469354,70.61468597,-90.19698391,56.23071844,-103.9823393,,-101.8412523,,-22.02647812,
28,-92.96678772,,-46.44568813,,-20.23167457,,-55.85143935,,-53.68532163,-39.54024322,-81.92718988,59.78180946,-77.90719084,46.18112413,-68.70627449,,-106.3764244,,-23.24533576,
29,-103.8365195,,-79.99678675,,-22.27572896,,-73.47938711,,-63.40060925,-40.71092661,-84.61166926,60.17007122,-68.73430562,-14.7239379,-84.34796674,,-92.71938667,,-20.21072796,
30,-100.8681355,,-70.90505377,,-21.87309986,,-83.97304983,,-88.34958996,-12.59120185,-102.9358765,78.19807831,-99.39242865,56.75863336,-89.43566264,,-105.1484927,,-23.39391523,
31,-90.65259959,,-107.3243139,,-19.43024048,,-81.84861201,,-93.86279922,3.227837285,-97.44956982,75.56872063,-96.22121792,54.03102385,-115.531866,,-95.0589577,,-20.70403742,
32,-99.31260937,,-70.86003193,,-21.84278753,,-66.49918067,,-69.75508957,-29.75167928,-88.34168467,64.21973529,-87.16979332,58.54418765,-83.21301946,,-100.8872926,,-21.55441118,
33,-100.7108168,,-106.3834894,,-21.91193203,,-64.42042349,,-101.6136945,0.906189064,-90.82268061,66.44840559,-88.8358541,81.46536103,-87.09167062,,-86.86164567,,-19.2703244,
34,-102.6027335,,-86.56628861,,-22.26094006,,-54.33142571,,-72.3641792,-30.42357744,-87.12353696,62.54087463,-89.90740905,77.70627756,-90.09423665,,-90.38484469,,-19.22037017,
35,-100.8361015,,-122.1960752,,-21.02654324,,-114.6928835,,-125.1065213,24.43436521,-99.72454049,76.00269155,-107.1836857,60.55654206,-104.0409108,,-92.82525474,,-20.00254766,
36,-94.11891321,,-110.099645,,-21.14657833,,-89.63914857,,-108.7667589,14.74340293,-102.6159082,78.69202292,-103.624424,66.66093893,-115.3961447,,-94.14993499,,-20.72067486,
37,-105.6511157,,-121.5079661,,-22.82703331,,-103.1839987,,-123.8703564,18.3297214,-108.528194,82.50237758,-109.6642515,77.45867699,-109.3822178,,-93.39356034,,-20.89568994,
38,-94.72744236,,-106.7924939,,-20.77514719,,-95.40594794,,-114.4116112,19.80368355,-105.95172,82.3070356,-106.9267583,74.42733208,-111.4082205,,-106.3695283,,-21.96643425,
39,-105.6373701,,-140.7378786,,-22.17156287,,-99.89029531,,-119.3342612,13.7847798,-101.9740979,76.91685469,-102.8880757,73.42927382,-123.9894531,,-92.93400912,,-20.13852464,
40,-90.57429198,,-105.9886023,,-20.28551873,,-97.48964502,,-115.1926835,24.76290137,-102.7255513,79.71895639,-106.2487169,63.36453187,-109.9437045,,-102.5073938,,-22.60055593,
41,-105.5941083,,-113.0241834,,-21.59576921,,-80.3951116,,-97.56770454,-8.076574626,-95.5449692,71.36603417,-95.65628611,62.76574497,-121.3337786,,-120.8660984,,-24.87073453,
42,-102.6808462,,-104.6886599,,-21.89655913,,-94.09646715,,-103.8644376,1.188739627,-98.29559996,73.65831468,-100.1286049,47.73396166,-94.84953841,,-98.24453463,,-21.06968463,
43,-95.55996599,,-98.75122155,,-20.11134523,,-62.33762577,,-107.2815913,11.80781872,-95.54348177,72.96655743,-93.76108138,84.61970469,-85.93893939,,-85.9565274,,-19.51076413,
44,-87.42389801,,-106.0793998,,-19.06952606,,-85.2918964,,-97.86905344,10.51709812,-90.79024312,69.56934331,-93.11860699,48.80080019,-106.9226796,,-102.4132248,,-22.32526895,
45,-96.78152848,,-109.6532065,,-20.96390184,,-83.81727114,,-123.4553906,26.83863252,-111.7256734,87.63092663,-110.2730191,96.45626154,-111.0197041,,-91.4915988,,-20.05875395,
46,-102.1915396,,-87.45327103,,-22.06017408,,-63.37292562,,-70.28294255,-32.1200107,-92.47999709,67.95566818,-94.18835989,75.22858969,-96.19011836,,-94.46941607,,-20.53028229,
47,-101.4868628,,-123.2103009,,-21.9142681,,-89.02081158,,-113.3090242,11.89709191,-104.8677525,80.00052527,-105.9454169,69.95305412,-121.8737776,,-108.492824,,-22.74756314,
48,-101.1892376,,-71.28974014,,-22.3621334,,-59.81437159,,-61.79768755,-39.65382864,-87.53667573,62.86874067,-93.12831635,84.19746838,-85.82319191,,-110.750729,,-23.76158601,
49,-99.59636141,,-110.5470856,,-21.37721244,,-77.59713223,,-96.47591406,-3.150561318,-99.93707159,75.85378818,-100.0889989,78.5020495,-118.9771546,,-85.31293664,,-18.97306736,
50,-103.2214135,,-92.92301196,,-22.46253756,,-75.27826308,,-85.41990895,-17.90855086,-96.71651861,71.57269643,-96.75796719,71.87710883,-98.01788403,,-115.237237,,-25.01008061,
51,-101.3297999,,-76.72824052,,-21.57056386,,-74.82240206,,-64.0960982,-37.5197483,-89.8693974,66.00550338,-67.82628344,-22.34516619,-89.71665354,,-100.4185498,,-21.58591879,
52,-103.013316,,-99.76070185,,-22.63204985,,-95.96543489,,-102.9525439,-0.060211067,-104.1775031,78.56460761,-103.6397676,51.5299145,-108.6768204,,-102.5880795,,-21.95003623,
53,-105.6044324,,-103.6748707,,-23.19638582,,-78.48619673,,-93.71167183,-11.96304778,-102.0871331,75.90680959,-102.1588304,76.56891154,-112.471589,,-102.5168013,,-21.95457338,
54,-105.9389708,,-87.15726409,,-22.89128372,,-68.98934991,,-77.35661999,-28.76115345,-93.84622969,68.35818167,-94.07514994,69.61620569,-103.049215,,-100.262762,,-22.0110383,
55,-109.5309479,,-111.2882794,,-23.20692394,,-63.82828461,,-113.5913921,4.068050212,-102.4970277,76.27751745,-100.9624817,90.70186778,-107.1686439,,-106.914366,,-23.01165153,
56,-97.58527349,,-113.3736025,,-21.23074609,,-88.38789899,,-96.53520091,-1.061433052,-95.60279898,71.80106663,-95.64217415,66.77158073,-110.9471787,,-100.1618361,,-21.39603457,
57,-98.83956465,,-121.7726624,,-20.94858543,,-46.1220264,,-122.0333742,23.35231279,-94.91830947,71.45888776,-90.63258232,80.93203378,-94.8203232,,-102.2441556,,-22.14963543,
58,-97.48972898,,-80.36289369,,-21.65311856,,-71.0377945,,-61.87515556,-35.87144296,-85.6795526,61.83804463,-68.93877815,-6.480595336,-95.5484173,,-99.85992298,,-20.82028907,
