,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1",$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1
0,-101.6898322,,-122.1388066,,-22.16366653,,-97.67271172,,-106.3869046,4.720753234,-99.35334068,74.43170365,-103.0937605,35.21332263,-122.1672211,,-100.53771001286077,,-21.548126225931085,
1,-100.4745155,,-92.50555537,,-22.47890825,,-62.66984672,,-74.38050407,-26.24541733,-85.96852574,61.19544651,-87.66353581,72.72586037,-96.66063482,,-112.38036147323692,,-24.544722708061272,
2,-96.56693813,,-100.6170894,,-21.14388361,,-69.55441672,,-117.9863081,21.55174511,-96.05729082,72.31613094,-94.09458759,77.41766243,-88.98909479,,-94.00687138598732,,-21.260831312043678,
3,-104.37757,,-98.20122532,,-23.24889141,,-71.19272964,,-93.7801389,-10.65815082,-97.27514691,71.23569016,-97.79146162,79.46676564,-98.55329558,,-93.1777670086658,,-20.528142704986408,
4,-100.400143,,-104.834377,,-21.33925605,,-106.4236906,,-119.7054703,19.41732399,-105.8376003,81.50702464,-107.9641107,71.61086381,-101.2785313,,-98.54032531327903,,-21.757894720669498,
5,-99.53761248,,-96.86566726,,-21.68513249,,-74.3166749,,-68.25081981,-31.51163654,-93.10719704,69.01633776,-80.27859354,17.67072498,-117.5741885,,-93.2037499115404,,-20.0265155386719,
6,-101.115511,,-54.83115245,,-21.74037116,,-68.00548681,,-66.98220762,-34.35825735,-89.41369124,65.36621152,-85.17085527,47.06591129,-72.55009317,,-104.59455419432197,,-22.14550479625575,
7,-96.10426525,,-101.3052123,,-21.54080764,,-60.90730426,,-84.26710925,-11.90968929,-83.39877493,59.71743716,-83.48536151,68.2863587,-95.13231392,,-91.98872695823229,,-20.328438157483674,
8,-102.5975816,,-81.62584673,,-23.006837,,-70.73905725,,-71.14923586,-31.64847563,-85.1526106,59.85902393,-81.23054411,35.23859717,-82.44416407,,-108.70556889616091,,-23.810796968609566,
9,-101.4758452,,-114.1124318,,-21.08867215,,-89.54969247,,-98.8196348,-2.670181979,-95.68637371,72.08825265,-96.2785055,55.76478114,-102.536132,,-99.9982570887214,,-22.65718070957473,
