,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1})\rightarrow D_t|D_{t-1})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, P_{t-1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1",$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1
0,-319.5277171,,-82.97290665,,-98.92771439,,-94.52376449,,75.16925499,-398.5182846,-90.20903757,-7.81062726,-92.97895743,-2.34126967,-89.37483245,,-323.94285185350236,,-100.8700608585932,
1,-314.3106937,,-96.74106301,,-99.39593872,,-104.2168371,,53.69471345,-371.5951669,-107.3308768,7.160158802,-102.4438122,-2.837556255,-106.1747649,,-321.2246558317329,,-99.50635577194043,
2,-317.1750814,,-86.52606929,,-98.7837175,,-103.342731,,41.1628578,-361.8842335,-103.2126436,4.035678552,-95.33736521,-12.89193358,-88.14182471,,-323.4933075713998,,-101.1262863263837,
3,-317.8469919,,-109.690775,,-101.443343,,-102.2934881,,27.59529936,-349.0598056,-100.2488796,-1.022487483,-96.50843562,-9.370179772,-98.73261097,,-319.75749852854096,,-98.8353795378207,
4,-317.040261,,-97.17279116,,-98.90116423,,-95.44490271,,53.30832569,-373.824663,-91.13706742,-6.938895205,-91.6320669,-5.907118645,-92.49635204,,-318.1910764694112,,-101.07671998249134,
5,-314.8800829,,-84.31838779,,-100.4361577,,-97.32646076,,55.4327149,-373.8762573,-92.66998736,-6.921121729,-91.97993458,-8.346306065,-87.98482852,,-326.49722410358663,,-98.23736036899209,
6,-320.7989682,,-103.2044594,,-102.5782195,,-102.0488497,,47.63893424,-371.8104337,-103.5600438,0.913923897,-106.6035845,7.210473159,-108.0945662,,-322.86702057069306,,-99.0985663733154,
7,-312.9636539,,-92.35764392,,-99.53595121,,-100.4521166,,54.35000769,-370.9963196,-100.5914856,1.00872334,-98.91630119,-2.423920475,-99.86015265,,-320.5914072147152,,-97.32524041116994,
8,-317.8849571,,-86.59079086,,-100.1725759,,-96.61943772,,66.0703156,-387.4814748,-91.27706495,-7.932217738,-90.63786078,-9.222916375,-92.12519661,,-322.31809759375756,,-97.45190846343758,
9,-319.212453,,-92.89588074,,-99.80532344,,-97.11995157,,57.44445361,-380.5725629,-92.40278675,-6.599436712,-91.03473352,-9.428251446,-94.0374101,,-325.82522658851303,,-100.17609682997863,
