,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,21.74,26.63305024,16.83772238,55.3,56.8367394,53.77016504,0.98,1,0.941194693
3,12.81,15.74314006,9.879069556,30.87,31.34263956,30.40017661,0.9,0.983154229,0.816845771
5,9.06,10.71273301,7.404513488,24.1,24.34367216,23.84838737,0.98,1,0.941194693
7,9.14,10.91462541,7.375186176,20.53,20.75059284,20.29950064,0.96,1,0.905683885
9,7.38,9.237446513,5.524116889,18.09,18.26783105,17.91657285,0.9,0.983154229,0.816845771
11,6.88,8.311637384,5.442576034,16.33,16.47087541,16.19736902,0.94,1,0.874173216
13,5.44,6.733511735,4.146871979,14.94,15.04075468,14.84477202,0.96,1,0.905683885
15,5.53,6.757968939,4.304143705,13.95,14.04841368,13.85723265,0.94,1,0.874173216
17,5.46,6.650434411,4.277309898,13.16,13.2521313,13.07619137,0.96,1,0.905683885
19,5.49,6.652399602,4.321298241,12.46,12.54996546,12.37655531,0.92,0.995197256,0.844802744
21,4.71,5.802680841,3.620729642,11.79,11.85884321,11.71143763,0.92,0.995197256,0.844802744
