,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,26.77,33.31059549219754,20.228715118189935,66.53,68.8262419174798,64.22819892968592,0.92,0.9951972564929183,0.8448027435070817
3,15.77,19.073913417616563,12.45967885951541,38.61,39.460050859615066,37.7626436053764,0.98,1.0,0.941194692918209
5,14.49,17.126654728852678,11.853923394590149,29.88,30.393193883742576,29.374189655107052,0.92,0.9951972564929183,0.8448027435070817
7,9.13,11.290657177950688,6.9770408944492575,25.16,25.47853079991021,24.844338317826725,0.94,1.0,0.8741732155597511
9,10.12,12.022095064165855,8.221973512639439,22.25,22.560420145321753,21.93170657155255,0.92,0.9951972564929183,0.8448027435070817
11,8.92,10.971403509648344,6.8689672847000764,20.16,20.35543836018555,19.959972259252805,0.94,1.0,0.8741732155597511
13,7.31,8.924220380246346,5.694920791812534,18.55,18.75752632303342,18.348681281996516,0.96,1.0,0.9056838847643437
15,7.12,8.68597500173201,5.548121041620028,17.2,17.371279041031137,17.03644310628418,0.96,1.0,0.9056838847643437
17,7.71,9.331122528719849,6.088833171301388,16.28,16.455378499771967,16.099457461481762,0.94,1.0,0.8741732155597511
19,6.65,8.14462291760924,5.153261218158579,15.23,15.372580801232338,15.091529847213586,0.9,0.9831542294609807,0.8168457705390193
21,7.44,9.019980120804496,5.852959290522747,14.57,14.725381423275087,14.421928187145985,0.86,0.9561781307794628,0.7638218692205372
