,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,21.67,25.43380538,17.90403288,39.51,42.82506632,36.19023407,0.82,0.926489372,0.713510628
3,8.75,10.83911444,6.668228343,22.12,23.57976426,20.6667103,0.98,1,0.941194693
5,6.25,7.562352234,4.947190275,17.21,18.49533896,15.91635132,0.96,1,0.905683885
7,5.96,7.341820224,4.569952885,14.8,15.95370405,13.64660166,0.94,1,0.874173216
9,4.75,5.950495316,3.542946738,13.5,14.44483378,12.55694061,0.98,1,0.941194693
11,5.47,6.437899736,4.509466137,12.73,13.62247173,11.84442327,0.96,1,0.905683885
13,4.63,5.769351111,3.486226084,11.31,11.9823582,10.63430876,0.94,1,0.874173216
15,3.96,4.786832013,3.134240859,10.05,10.75666683,9.335361455,0.92,0.995197256,0.844802744
17,3.82,4.625159853,3.018615149,10.23,10.96709081,9.487060137,0.98,1,0.941194693
19,3.55,4.307511676,2.783553234,9.43,10.16995846,8.696321919,1,1,1
21,3.17,3.908402176,2.440940895,8.11,8.548291261,7.670706194,0.92,0.995197256,0.844802744
