,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,13.08,15.48658138,10.66745044,33.95,34.5284834,33.36710816,0.96,1,0.905683885
3,7.98,9.556728434,6.395079456,19.86,20.04813556,19.67055866,0.94,1,0.874173216
5,6.35,7.773757016,4.929825556,15.38,15.4841107,15.26625624,0.92,0.995197256,0.844802744
7,4.69,5.757199698,3.625363838,12.97,13.05755655,12.88764372,0.96,1,0.905683885
9,4.84,5.788936025,3.886195254,11.44,11.511328,11.36892178,0.98,1,0.941194693
11,4.22,5.150474684,3.288557538,10.36,10.41733318,10.30993546,0.96,1,0.905683885
13,4,4.909775747,3.088829618,9.51,9.55635474,9.464585477,0.92,0.995197256,0.844802744
15,4.02,4.979019021,3.064697846,8.87,8.915566148,8.818882455,0.96,1,0.905683885
17,3.02,3.612695801,2.418261203,8.3,8.33530014,8.270706694,1,1,1
19,3.26,3.963531758,2.550412909,7.87,7.895881631,7.83423865,0.96,1,0.905683885
21,3.19,3.870468815,2.506362393,7.47,7.497377542,7.439666136,0.92,0.995197256,0.844802744
