,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,15.69,19.05084311023108,12.331154064054271,34.91,35.597323746817295,34.21552840477956,0.94,1,0.8741732155597511
3,8.61,10.046775402110594,7.174067354443893,19.75,19.97044280249443,19.53721263611855,0.96,1,0.9056838847643437
5,6.94,8.667415588924248,5.219052374365221,15.33,15.492837461082058,15.158285155419641,0.92,0.9951972564929183,0.8448027435070817
7,6.11,7.132872044901204,5.085934843466776,12.89,12.995952725377574,12.786915698372571,0.96,1,0.9056838847643437
9,5.3,6.4300336291785145,4.164488541804741,11.42,11.501232812198644,11.347301590247177,0.9,0.9831542294609807,0.8168457705390193
11,4.67,5.802366183,3.5322161416035023,10.33,10.397365821012947,10.259513555942657,0.88,0.9700730871531891,0.7899269128468109
13,4.47,5.521823157361023,3.415646400721498,9.5,9.556201387327462,9.437885592540503,0.88,0.9700730871531891,0.7899269128468109
15,3.5,4.325145203218838,2.670560323177794,8.87,8.916279390439565,8.822352574872744,0.92,0.9951972564929183,0.8448027435070817
17,3.45,4.184539137726697,2.7090181448105253,8.28,8.320991041652357,8.236994768757755,0.94,1,0.8741732155597511
19,2.67,3.1685908817567245,2.1764575611173793,7.87,7.8927760592516805,7.839503410798029,1,1,1
21,2.86,3.5877808908083955,2.141372303619095,7.49,7.528263085,7.461668252613065,0.94,1,0.8741732155597511
