,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,12.46,14.834176110501772,10.09409364966685,25.3,26.171906765269327,24.4338171756769,0.92,0.9951972564929183,0.8448027435070817
3,6.96,8.448935094344371,5.462479657645861,16.16,16.57771297021472,15.736805637047999,0.92,0.9951972564929183,0.8448027435070817
5,6.04,7.301958725631496,4.770324929333499,13.17,13.505541933830205,12.840223239090797,0.94,1.0,0.8741732155597511
7,4.71,5.705335744187886,3.7164839803271934,11.53,11.855843974005762,11.201362907389306,0.94,1.0,0.8741732155597511
9,4.46,5.3375936453651525,3.574809583052818,10.33,10.562156202620248,10.104852953551706,0.94,1.0,0.8741732155597511
11,3.96,4.708301384819308,3.2178518661599522,9.35,9.52811625336041,9.181175856360296,0.96,1.0,0.9056838847643437
13,3.43,4.270591785837762,2.587308167191356,8.53,8.698265247048184,8.370074148812709,0.9,0.9831542294609807,0.8168457705390193
15,2.87,3.4888094128491685,2.247242730100606,8.1,8.222661190118087,7.979717163627813,0.98,1.0,0.941194692918209
17,3.16,4.015053114725594,2.308005088542271,7.6,7.711326365945908,7.490520470784398,0.9,0.9831542294609807,0.8168457705390193
19,3.13,3.753650951846105,2.504531150982182,7.2,7.301013006478346,7.10364337425478,0.92,0.9951972564929183,0.8448027435070817
21,2.56,3.1427385376368355,1.979722382046964,6.92,7.013003702385248,6.832544487010924,0.96,1.0,0.9056838847643437
