,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,15.94,18.99880983,12.87294743,35.23,35.87145699,34.59847289,0.96,1,0.905683885
3,8.3,10.00869737,6.582036079,19.88,20.08852569,19.67834834,0.96,1,0.905683885
5,6.91,8.517458764,5.309483727,15.32,15.46208574,15.18639728,0.9,0.983154229,0.816845771
7,4.8,5.884954967,3.717449193,13,13.09483288,12.90995799,0.96,1,0.905683885
9,4.1,4.835968729,3.362584875,11.41,11.480473,11.34856775,1,1,1
11,4.31,5.173602835,3.447773778,10.39,10.43771544,10.33663577,0.92,0.995197256,0.844802744
13,3.86,4.684818551,3.030640494,9.53,9.580681722,9.487981034,0.96,1,0.905683885
15,3.52,4.308899289,2.721854899,8.86,8.904588474,8.821198643,0.94,1,0.874173216
17,3.19,3.85910675,2.518579151,8.33,8.365137639,8.297154087,0.98,1,0.941194693
19,3.5,4.225139363,2.772009041,7.85,7.884482878,7.81491811,0.9,0.983154229,0.816845771
21,3.29,3.838210148,2.733404634,7.51,7.549795701,7.462708443,0.96,1,0.905683885
