,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,18.46,21.798039417420235,15.122185214995687,45.57,46.62712366680994,44.51482507651044,0.94,1,0.8741732155597511
3,10.45,12.699143270650744,8.193755502546342,26.37,26.799267651866778,25.936468020679683,0.96,1,0.9056838847643437
5,8.41,10.32265203104894,6.501020055081888,20.6,20.86078457328693,20.332470348798214,0.94,1,0.8741732155597511
7,7.89,9.413554717,6.371137815209284,17.47,17.65698371967012,17.288620809915425,0.94,1,0.8741732155597511
9,5.91,7.225509839463665,4.594558100089744,15.33,15.459865526950741,15.200146670197904,0.96,1,0.9056838847643437
11,6.03,7.312269631,4.749207637299113,13.75,13.872755110820686,13.635873660359616,0.92,0.9951972564929183,0.8448027435070817
13,4.78,5.828906439,3.721649119,12.85,12.96436808,12.73349349,0.94,1,0.874173216
15,4.34,5.253363073,3.431622435,11.84,11.93199408,11.75022707,0.96,1,0.905683885
17,4.59,5.619543499,3.561090052,11.19,11.25122535,11.11959309,0.94,1,0.874173216
19,4.31,5.24532931,3.367499752,10.57,10.64317944,10.49789511,0.9,0.983154229,0.816845771
21,3.82,4.686653306,2.959412895,10.04,10.10310614,9.972225808,0.96,1,0.905683885
