,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,10.6,12.972385397896588,8.226542764391333,27.04,27.39535464852207,26.67917611514672,0.94,1,0.8741732155597511
3,6.2,7.743502559172699,4.663391647,15.76,15.886514980116168,15.638573623692086,0.9,0.9831542294609807,0.8168457705390193
5,5.25,6.282279880871037,4.223979460201253,12.25,12.332696796029435,12.158469550408505,0.88,0.9700730871531891,0.7899269128468109
7,4.33,5.1611735596335055,3.489787928991529,10.39,10.450977457393327,10.330801282865641,0.96,1,0.9056838847643437
9,3.49,4.342043685928346,2.6430308064852044,9.16,9.206357813,9.112594006686209,0.94,1,0.8741732155597511
11,3.63,4.3149829776905415,2.954344379162049,8.28,8.314379947413359,8.240078975160275,0.94,1,0.8741732155597511
13,3.28,3.9823062,2.571105094,7.6,7.636373453,7.573099947,0.94,1,0.874173216
15,3.24,3.886405346,2.603133552,7.07,7.103663429,7.043230981,0.94,1,0.874173216
17,2.71,3.334386179,2.0764908,6.67,6.692014515,6.641938585,0.92,0.995197256,0.844802744
19,3.14,3.75182676,2.534408508,6.28,6.30822092,6.253755842,0.92,0.995197256,0.844802744
21,2.77,3.286897378,2.249685187,5.99,6.008485399,5.967232895,0.9,0.983154229,0.816845771
