alpha_demand,alpha_wind,error
0.0,0.0,0.76
0.0,0.111,0.68
0.0,0.222,0.99
0.0,0.333,0.86
0.0,0.444,1.32
0.0,0.555,1.27
0.0,0.666,1.14
0.0,0.777,1.22
0.0,0.888,1.35
0.0,0.999,0.44
0.111,0.0,0.56
0.111,0.111,1.06
0.111,0.222,1.72
0.111,0.333,2.26
0.111,0.444,3.14
0.111,0.555,3.36
0.111,0.666,4.25
0.111,0.777,5.39
0.111,0.888,6.13
0.111,0.999,6.53
0.222,0.0,0.8
0.222,0.111,1.65
0.222,0.222,4.08
0.222,0.333,5.04
0.222,0.444,6.62
0.222,0.555,8.08
0.222,0.666,10.21
0.222,0.777,10.94
0.222,0.888,12.46
0.222,0.999,13.33
0.333,0.0,0.76
0.333,0.111,3.4
0.333,0.222,6.04
0.333,0.333,7.93
0.333,0.444,10.03
0.333,0.555,13.23
0.333,0.666,14.21
0.333,0.777,17.2
0.333,0.888,19.6
0.333,0.999,20.38
0.444,0.0,1.4
0.444,0.111,5.13
0.444,0.222,8.53
0.444,0.333,11.72
0.444,0.444,15.13
0.444,0.555,17.99
0.444,0.666,20.64
0.444,0.777,23.7
0.444,0.888,26.15
0.444,0.999,27.92
0.555,0.0,2.03
0.555,0.111,7.54
0.555,0.222,11.86
0.555,0.333,16.51
0.555,0.444,20.64
0.555,0.555,23.65
0.555,0.666,27.26
0.555,0.777,31.47
0.555,0.888,34.54
0.555,0.999,36.8
0.666,0.0,3.4
0.666,0.111,10.15
0.666,0.222,16.6
0.666,0.333,22.07
0.666,0.444,26.74
0.666,0.555,31.81
0.666,0.666,35.95
0.666,0.777,40.38
0.666,0.888,44.03
0.666,0.999,46.99
0.777,0.0,5.71
0.777,0.111,15.27
0.777,0.222,23.41
0.777,0.333,30.42
0.777,0.444,36.31
0.777,0.555,42.39
0.777,0.666,46.96
0.777,0.777,52.35
0.777,0.888,56.76
0.777,0.999,59.78
0.888,0.0,11.32
0.888,0.111,23.82
0.888,0.222,33.97
0.888,0.333,42.64
0.888,0.444,50.42
0.888,0.555,56.26
0.888,0.666,62.39
0.888,0.777,67.78
0.888,0.888,72.13
0.888,0.999,76.75
0.999,0.0,22.8
0.999,0.111,40.69
0.999,0.222,53.74
0.999,0.333,63.99
0.999,0.444,72.09
0.999,0.555,79.23
0.999,0.666,84.9
0.999,0.777,90.34
0.999,0.888,95.73
0.999,0.999,99.96
