alpha_demand,alpha_wind,error
0.0,0.0,0.12
0.0,0.111,-0.11
0.0,0.222,0.1
0.0,0.333,0.13
0.0,0.444,0.63
0.0,0.555,-0.26
0.0,0.666,0.73
0.0,0.777,0.47
0.0,0.888,0.55
0.0,0.999,-0.1
0.111,0.0,-0.23
0.111,0.111,0.44
0.111,0.222,1.17
0.111,0.333,1.29
0.111,0.444,2.51
0.111,0.555,3.68
0.111,0.666,4.39
0.111,0.777,5.09
0.111,0.888,5.98
0.111,0.999,6.42
0.222,0.0,0.4
0.222,0.111,1.61
0.222,0.222,2.2
0.222,0.333,3.57
0.222,0.444,5.81
0.222,0.555,7.35
0.222,0.666,8.96
0.222,0.777,10.85
0.222,0.888,11.43
0.222,0.999,13.06
0.333,0.0,0.49
0.333,0.111,2.04
0.333,0.222,4.28
0.333,0.333,6.79
0.333,0.444,8.99
0.333,0.555,10.87
0.333,0.666,12.86
0.333,0.777,16.52
0.333,0.888,18.48
0.333,0.999,20.54
0.444,0.0,0.99
0.444,0.111,3.22
0.444,0.222,5.93
0.444,0.333,9.28
0.444,0.444,12.17
0.444,0.555,15.78
0.444,0.666,18.86
0.444,0.777,22.1
0.444,0.888,25.72
0.444,0.999,28.2
0.555,0.0,1.77
0.555,0.111,5.15
0.555,0.222,9.2
0.555,0.333,12.8
0.555,0.444,16.77
0.555,0.555,20.7
0.555,0.666,24.77
0.555,0.777,29.64
0.555,0.888,32.17
0.555,0.999,36.96
0.666,0.0,3.13
0.666,0.111,7.69
0.666,0.222,12.4
0.666,0.333,17.89
0.666,0.444,23.15
0.666,0.555,27.66
0.666,0.666,32.78
0.666,0.777,39.51
0.666,0.888,42.35
0.666,0.999,47.15
0.777,0.0,5.68
0.777,0.111,11.83
0.777,0.222,18.65
0.777,0.333,24.84
0.777,0.444,30.41
0.777,0.555,36.74
0.777,0.666,43.8
0.777,0.777,49.94
0.777,0.888,54.97
0.777,0.999,60.07
0.888,0.0,10.86
0.888,0.111,18.92
0.888,0.222,27.02
0.888,0.333,34.96
0.888,0.444,43.23
0.888,0.555,51.21
0.888,0.666,57.39
0.888,0.777,63.98
0.888,0.888,71.0
0.888,0.999,76.65
0.999,0.0,22.88
0.999,0.111,34.15
0.999,0.222,44.49
0.999,0.333,54.43
0.999,0.444,62.94
0.999,0.555,71.41
0.999,0.666,79.13
0.999,0.777,86.36
0.999,0.888,93.32
0.999,0.999,99.81
