alpha_demand,alpha_wind,error
0.0,0.0,0.47
0.0,0.111,0.6
0.0,0.222,0.59
0.0,0.333,0.62
0.0,0.444,0.68
0.0,0.555,0.7
0.0,0.666,0.89
0.0,0.777,0.78
0.0,0.888,0.89
0.0,0.999,0.03
0.111,0.0,0.38
0.111,0.111,1.91
0.111,0.222,3.4
0.111,0.333,5.13
0.111,0.444,6.57
0.111,0.555,7.86
0.111,0.666,8.91
0.111,0.777,9.72
0.111,0.888,11.4
0.111,0.999,12.53
0.222,0.0,0.4
0.222,0.111,3.78
0.222,0.222,7.1
0.222,0.333,10.08
0.222,0.444,13.01
0.222,0.555,16.06
0.222,0.666,18.68
0.222,0.777,21.87
0.222,0.888,25.26
0.222,0.999,28.65
0.333,0.0,0.42
0.333,0.111,5.66
0.333,0.222,10.45
0.333,0.333,15.03
0.333,0.444,20.1
0.333,0.555,24.32
0.333,0.666,29.69
0.333,0.777,35.31
0.333,0.888,42.29
0.333,0.999,50.13
0.444,0.0,0.72
0.444,0.111,7.23
0.444,0.222,13.45
0.444,0.333,19.64
0.444,0.444,25.96
0.444,0.555,34.12
0.444,0.666,41.18
0.444,0.777,50.85
0.444,0.888,63.32
0.444,0.999,80.27
0.555,0.0,0.64
0.555,0.111,8.29
0.555,0.222,16.15
0.555,0.333,24.34
0.555,0.444,32.55
0.555,0.555,42.12
0.555,0.666,54.53
0.555,0.777,70.44
0.555,0.888,91.39
0.555,0.999,125.46
0.666,0.0,0.9
0.666,0.111,9.45
0.666,0.222,18.68
0.666,0.333,28.16
0.666,0.444,38.43
0.666,0.555,50.78
0.666,0.666,66.94
0.666,0.777,90.87
0.666,0.888,127.64
0.666,0.999,201.01
0.777,0.0,0.84
0.777,0.111,10.7
0.777,0.222,20.75
0.777,0.333,31.52
0.777,0.444,44.72
0.777,0.555,59.2
0.777,0.666,80.71
0.777,0.777,115.23
0.777,0.888,178.09
0.777,0.999,352.4
0.888,0.0,0.83
0.888,0.111,11.19
0.888,0.222,23.07
0.888,0.333,34.63
0.888,0.444,48.98
0.888,0.555,65.85
0.888,0.666,93.23
0.888,0.777,139.6
0.888,0.888,244.75
0.888,0.999,811.13
0.999,0.0,1.02
0.999,0.111,11.86
0.999,0.222,23.76
0.999,0.333,37.93
0.999,0.444,51.68
0.999,0.555,70.38
0.999,0.666,103.26
0.999,0.777,164.47
0.999,0.888,336.07
0.999,0.999,63856.64
