alpha_demand,alpha_wind,error
0.0,0.0,0.03
0.0,0.111,-0.34
0.0,0.222,-0.16
0.0,0.333,-0.39
0.0,0.444,0.15
0.0,0.555,-0.02
0.0,0.666,-0.35
0.0,0.777,0.39
0.0,0.888,-0.21
0.0,0.999,-0.0
0.111,0.0,0.04
0.111,0.111,-1.22
0.111,0.222,-2.49
0.111,0.333,-3.44
0.111,0.444,-4.91
0.111,0.555,-7.08
0.111,0.666,-7.52
0.111,0.777,-9.36
0.111,0.888,-10.87
0.111,0.999,-12.5
0.222,0.0,0.03
0.222,0.111,-2.64
0.222,0.222,-5.18
0.222,0.333,-8.04
0.222,0.444,-11.4
0.222,0.555,-13.91
0.222,0.666,-17.46
0.222,0.777,-20.92
0.222,0.888,-24.49
0.222,0.999,-28.57
0.333,0.0,-0.28
0.333,0.111,-3.82
0.333,0.222,-8.19
0.333,0.333,-12.34
0.333,0.444,-17.06
0.333,0.555,-22.51
0.333,0.666,-28.73
0.333,0.777,-35.21
0.333,0.888,-42.68
0.333,0.999,-50.0
0.444,0.0,0.04
0.444,0.111,-4.83
0.444,0.222,-10.34
0.444,0.333,-17.26
0.444,0.444,-24.65
0.444,0.555,-32.93
0.444,0.666,-41.14
0.444,0.777,-54.21
0.444,0.888,-64.8
0.444,0.999,-80.0
0.555,0.0,-0.08
0.555,0.111,-6.44
0.555,0.222,-14.23
0.555,0.333,-22.27
0.555,0.444,-32.98
0.555,0.555,-45.39
0.555,0.666,-58.74
0.555,0.777,-75.78
0.555,0.888,-97.33
0.555,0.999,-125.0
0.666,0.0,0.13
0.666,0.111,-7.78
0.666,0.222,-16.92
0.666,0.333,-28.04
0.666,0.444,-41.49
0.666,0.555,-57.01
0.666,0.666,-79.99
0.666,0.777,-106.95
0.666,0.888,-146.32
0.666,0.999,-200.0
0.777,0.0,-0.43
0.777,0.111,-9.37
0.777,0.222,-20.48
0.777,0.333,-34.4
0.777,0.444,-53.08
0.777,0.555,-75.19
0.777,0.666,-107.86
0.777,0.777,-154.19
0.777,0.888,-220.23
0.777,0.999,-350.0
0.888,0.0,-0.28
0.888,0.111,-11.07
0.888,0.222,-24.28
0.888,0.333,-42.0
0.888,0.444,-64.72
0.888,0.555,-96.89
0.888,0.666,-145.46
0.888,0.777,-225.83
0.888,0.888,-376.69
0.888,0.999,-799.95
0.999,0.0,0.1
0.999,0.111,-12.24
0.999,0.222,-28.33
0.999,0.333,-50.15
0.999,0.444,-80.33
0.999,0.555,-124.11
0.999,0.666,-198.8
0.999,0.777,-344.4
0.999,0.888,-782.74
0.999,0.999,658346.06
