,I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),"I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()"
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
-0.249,-99.80420572694652,-99.0125677024138,-100.55260632406316,-101.93290647238027,-84.98274280852637,-118.54090515011922,-115.67750790970494,-114.02962599240345,-116.55061824484801,-99.10576540290677,-89.10138633655151,-107.05583525795373
-0.1866,-100.17663685680509,-99.22749152224587,-101.30271854609096,-101.01115951729007,-85.59131930950097,-118.53236571212764,-111.79024219085004,-110.19433282056453,-113.2975931630197,-97.24358938053919,-87.52646319695049,-106.5557575550105
-0.1242,-99.96542705876936,-98.51254490340588,-101.39185140971031,-97.08390360432676,-83.00427855483721,-110.96075601896737,-107.44379535373446,-105.68538744930447,-109.00139393135105,-97.11139587054932,-90.73913605129637,-105.0843406029453
-0.06180000000000002,-99.91427012433905,-98.99724912812334,-100.93407275852337,-100.70398591645062,-85.17747889561578,-117.09773059170693,-103.85156082192407,-102.20183650013496,-105.0320417987703,-97.17034598957544,-87.44000994180678,-107.52983756458852
0.0005999999999999894,-99.80849827028256,-98.96270839592458,-100.87592992304698,-97.90592568411958,-85.45871462977956,-112.75904309123288,-99.83415242369738,-98.71144590839103,-101.08684472595378,-95.12921551051258,-81.02045421158546,-105.69848862276994
0.063,-100.30449220845995,-98.52894526695937,-101.88291004953467,-102.163844891591,-88.74989204620942,-116.04684052772355,-96.4522806011817,-94.53415229318053,-98.12639145682515,-98.71066764154966,-89.91097613167366,-111.4100181646063
0.12539999999999996,-100.03613157546133,-98.38984931206168,-101.11588077741968,-102.67936963904648,-83.2991963878274,-117.31458777962253,-92.89492437522821,-91.44649292187606,-93.95059831369326,-99.7512105698319,-91.47868804150494,-110.87800317574583
0.18779999999999997,-99.87158624804674,-98.97883863249982,-101.00600204269122,-97.86534423481207,-84.88031562124378,-114.7696855634451,-88.80428669513567,-87.59134402799683,-90.36088971741955,-97.40190998829203,-85.88386133222374,-108.848837094981
0.2502,-99.69074297206957,-98.28633496945326,-101.49007137118096,-99.14343476195354,-84.22655153509695,-112.45716279684567,-84.86458770876015,-83.55620459804886,-86.39837908226109,-97.86390283630172,-85.97650978483725,-109.54480658780668
0.3126,-99.63823604972609,-98.25843215649748,-100.8445651131195,-95.49593574451282,-77.5880951218307,-112.58977381081786,-80.83241467161388,-79.58552912334672,-81.9668979662827,-96.85379424808488,-87.3429618296097,-104.7867213454214
0.375,-99.94005232998157,-98.72205812027164,-100.99893245006396,-100.73653122887481,-88.06965001376811,-118.03425047805067,-76.92542469726796,-75.7257519678249,-77.9499422238674,-98.23383029891701,-90.36470210328697,-109.74121414076072
0.4374,-100.00824679199027,-96.80381140831746,-101.39035479709386,-101.81940749941859,-91.99913961384445,-117.9135031417245,-72.45086813387461,-70.59899105756486,-73.78549521138048,-97.77191214057385,-89.19233440753305,-107.70848574751872
0.4997999999999999,-99.87521716453708,-98.74902007880132,-100.91747557887456,-102.11854279581458,-88.41680763589684,-120.97137698414735,-67.99308162187772,-66.62963091523633,-69.81927163487126,-98.14753940958944,-87.8212563563371,-109.46191630577668
0.5621999999999999,-100.5179918422929,-98.31735738184503,-102.8295399447768,-98.10061931677629,-86.22861148817464,-108.14416381986811,-63.124016157851656,-62.031018469095216,-64.65580632974634,-98.65679193252872,-91.24301553984405,-106.06473449629848
0.6245999999999999,-99.77472565636235,-96.88915755197722,-101.65454754736292,-100.34803994910325,-75.83910719482228,-119.99694840332958,-57.169471770288325,-55.63455071054741,-58.19515633898245,-98.51106233466126,-87.11196298289578,-115.67754577188752
0.6869999999999999,-99.68805993892583,-95.7924794438507,-102.55166343472906,-99.84963698245119,-83.3183316210052,-116.26459949202835,-50.921656275205535,-49.0101557529717,-52.58642511924718,-99.73569863895173,-86.96745461079408,-114.03765320357051
0.7494,-100.64829591215425,-95.26497976177215,-104.24459432707417,-99.9319085285766,-78.71800711126998,-115.3949684007559,-44.165113373285934,-41.836568528522,-46.19214482758507,-97.14150674590056,-82.34306713602855,-107.13512427347595
0.8118,-99.068809146984,-94.6474720669975,-104.45999608098627,-97.09050738785882,-72.76222172023263,-116.74842886188999,-35.28585612100342,-33.64271082204395,-36.98264588878683,-97.55384194125509,-87.10618407360744,-111.56740466801857
0.8742,-98.61558901885914,-93.59889328049071,-103.06880522758802,-95.68129362456966,-68.14581040865741,-118.60868936942424,-25.85088112858823,-24.65896707538468,-26.82058828617137,-92.77173046039533,-82.29153495771462,-103.13917848961137
0.9366,-99.31421986830773,-88.2436058043561,-109.207688213365,-103.5385051138932,-61.911385205341496,-139.9076097860234,-14.457488596409462,-13.188631941903258,-16.055149463298996,-98.1348614973278,-91.3887159404403,-107.81625514557818
0.999,-111.2411889259452,38.63906452999278,-216.61299292903868,-147.702997661673,64.70360155191159,-411.1201688794419,-0.6496077126476848,0.020402944572015413,-1.3635100286714077,-96.65629213665525,-85.80750216590822,-104.52850017960336
