,I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(W1:W26),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),"I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()"
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
-0.249,-80.15555117330359,-79.40521500605601,-80.75305052259895,-99.59946114539635,-84.30202873544768,-109.50118864460383,-99.98316053800227,-98.62588395037456,-101.00939804918599,-97.24171028816491,-88.84615341956378,-105.46605142557527
-0.1866,-84.46821687539845,-83.99159451262089,-84.953115917476,-97.83478129513097,-88.636063753278,-108.37869536001236,-100.32386657092502,-99.50449950470284,-100.92765285577116,-97.663851253342,-87.77443598895043,-104.82435107450002
-0.1242,-88.95335719229138,-87.56036232897782,-89.75148615384683,-102.76472714857664,-89.6529133452801,-116.38038282347843,-100.06580216873189,-98.873284662488,-101.02290040440566,-99.29638542600442,-90.28221900257923,-107.82227293964824
-0.06180000000000002,-94.20874514084035,-93.43937157452137,-95.05357461265461,-100.31838800616097,-92.46520667788573,-110.81141202221625,-100.17751140731124,-98.9162017561066,-101.44633573787578,-99.7833711432584,-94.74783885792712,-108.27939984006225
0.0005999999999999894,-100.1863163851448,-99.23470192930768,-100.99144049230873,-100.33956205039286,-90.37276139506139,-108.79432176423725,-100.10360291307589,-98.1933925375466,-101.84307820554095,-101.1981337496156,-92.59241446589257,-109.57536624982022
0.063,-106.68482864328594,-105.74864844604045,-107.73554804727573,-100.11088839657604,-91.62442998143379,-111.06653617837,-100.06422919048055,-98.8601962911358,-101.49701233789747,-99.47452047441038,-91.89906184310094,-104.79784911957395
0.12539999999999996,-114.1089416288988,-113.25164847412489,-114.83470180764425,-97.31618507849052,-85.8475596416276,-106.58180243549869,-99.8018785189619,-98.58413401334765,-100.67332390771917,-98.39990778677456,-88.06368975915248,-106.10769186867984
0.18779999999999997,-122.8598628621855,-122.08205004228694,-123.78854253048102,-102.67241767242085,-90.00159513815306,-112.32779045791831,-99.96670554258598,-99.07600598372082,-100.74005216349978,-100.32752496717148,-93.63432915906887,-105.87348939222284
0.2502,-133.00883329193093,-131.48687450919198,-134.26087375142487,-98.94308563023806,-86.61299645516556,-110.87788488212973,-100.02990189631745,-98.39090401227877,-101.23853446442081,-95.20279346688767,-84.9265587442438,-102.36818526299321
0.3126,-145.0117321585605,-143.9657966973271,-145.89111113499402,-100.22561999848112,-89.37702957477886,-114.88493610790465,-100.02619140348979,-98.63229555409853,-101.62899648387247,-99.89208736791625,-90.68970202858327,-112.79423457595404
0.375,-158.93735029691797,-157.41810643543667,-160.6361445443791,-100.03830664162524,-91.79872402744368,-106.77320458472241,-99.80561194682886,-98.86868906954405,-101.11618902863265,-98.95085980817676,-92.4207568322192,-104.56472319749301
0.4374,-176.50041675586698,-175.21654653449704,-178.29742404960035,-102.52662786978763,-87.19173601013608,-116.7977922633756,-100.39775273942868,-99.79529888742908,-101.37250567511292,-99.16378799670493,-89.24307594763813,-109.81476065048483
0.4997999999999999,-197.00556835129683,-195.45129995399984,-198.92919534964966,-99.45576855947729,-84.74441829270218,-108.4711304372875,-100.31916364055287,-98.22387790188296,-102.06650013910912,-97.6083897364384,-89.36304884258425,-106.18223691924359
0.5621999999999999,-223.45384417499827,-221.64708204542566,-225.26284006798306,-98.36756694524084,-81.33799924256745,-113.85807933332399,-99.9469359862851,-98.56130517118072,-100.95725558960548,-96.94077912449139,-86.07339008350391,-110.67918338375748
0.6245999999999999,-258.163876287456,-255.7800911716484,-260.5408412793007,-100.70742958136834,-84.82185382107272,-112.18765429791529,-100.06899836438825,-98.87941188082259,-101.42466372073322,-97.67207191509078,-88.4842794773227,-107.47686971304356
0.6869999999999999,-306.09487664162623,-302.65000259424534,-309.10796343241253,-103.44953878833913,-89.9991511188913,-119.9762740376871,-99.90801146641243,-98.49677451332464,-101.21371571961936,-100.41669389606686,-94.09140320475562,-108.64604676952585
0.7494,-371.58890177838657,-368.42231041697215,-375.4884852534142,-101.5079159255838,-91.2926451921463,-116.62021897204686,-99.96194046115124,-98.1176346133143,-101.39608776371169,-98.11387508262996,-89.75739021134214,-109.24765967624845
0.8118,-467.5807735773142,-458.6218941908102,-473.77165787010364,-99.76435902875383,-83.1444117598934,-113.90068125196267,-99.51404796515926,-97.85292032668004,-101.30247432796386,-96.29902818688133,-84.45660356393782,-105.27604624482338
0.8742,-613.3900365604738,-602.3189070920205,-623.7229526856081,-100.66160179208964,-90.57235143487341,-112.01169620687142,-99.6133369975225,-97.9252330458432,-101.28179975369748,-96.47826749479282,-90.09353107803472,-104.39290359925216
0.9366,-764.7329844634136,-735.8156548626554,-793.6325001933841,-101.28327642863151,-80.02024348611012,-114.84384875299875,-100.00517874424676,-98.49413997359625,-101.68081863371353,-97.895389071084,-88.56553023801753,-106.96464012620126
0.999,-78.68680437125985,-46.768397890558475,-124.86077999340633,-98.92541612961796,-80.02760366522706,-124.28921706327237,-99.88687289683412,-98.16346490555489,-101.97398585553228,-98.95115897940559,-88.68279573380114,-107.45319263305537
