,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
0,-50.19751009072297,,-110.6962243868038,,-45.729403506156814,,-110.18880239129066,,-73.04500874062069,,-100.81654395197984,50.99510589556303,-101.30399939208291,51.216167296865024,-106.28550746152177,49.940148938971106
1,-49.90640986458493,,-96.36367004457861,,-45.705417991950526,,-96.51003420352936,,-67.57218628528062,,-96.2425192296505,46.68746214848943,-96.29643340362236,46.66325398499612,-96.2637601965107,46.67945633310592
2,-51.681063450213514,,-104.35016435291618,,-46.95605814688315,,-104.63424342125654,,-65.69474734587129,,-103.36966730060522,52.07484943768941,-103.14102899166755,51.68320577160921,-98.25415619905107,53.67019711865578
3,-50.882937036638396,,-102.8209652765654,,-46.31254526178236,,-102.4926688671112,,-77.49257015029434,,-97.37479491508566,46.8598969001323,-97.48843293311074,47.16167490801308,-101.1440125904046,45.410512116272
4,-50.69176278532632,,-106.39824446616694,,-45.664928729020176,,-107.1067399084568,,-63.61367161886301,,-107.89149447344244,57.62268240272533,-108.32443900755607,57.74885475472547,-110.26964134117588,57.23765867669135
5,-50.899283786230626,,-88.88210618449375,,-45.91425731819618,,-88.77486685849726,,-72.35401868331246,,-90.89057236572262,40.30012819648255,-89.8664898237912,40.55323622957803,-86.0688336606836,43.48375642183237
6,-50.880531106928174,,-107.99842059612274,,-46.44530643212056,,-108.78267459571362,,-72.51353895908687,,-101.90781888714992,51.412919615977444,-102.47207437292673,51.59441423404496,-105.65937422821298,50.231953432492446
7,-49.9283781053673,,-98.84196558501571,,-45.10661645903019,,-99.4795883744955,,-74.99322630697861,,-97.26013551745564,47.6685772271594,-97.39908168045804,48.26214572612662,-103.77858717832714,45.60112963471329
8,-50.19010749640165,,-98.8525686324574,,-45.33509371353284,,-97.92943908274174,,-49.29992144892458,,-104.1399242443731,54.35858850355726,-103.70633308915421,53.824822309892625,-96.25028258026578,55.19099170144182
9,-50.010121985093974,,-91.26218088483438,,-45.603922969028645,,-91.0633427798748,,-59.55495020782109,,-100.30564695945941,50.669477014569566,-99.98999137897044,50.150856165681034,-94.27055387594737,52.522416067891754
10,-50.298309683309526,,-96.374316804111,,-46.14889810223394,,-97.33020803332329,,-66.75645139242988,,-97.94864776846953,48.01255405310076,-97.87956160656177,47.683117888867855,-95.1976654190803,49.25531276606489
11,-51.53142093172937,,-108.01468237256631,,-46.957989588983764,,-106.28356732428074,,-77.75702683767304,,-98.06730165169574,46.916381879593246,-98.28050729702227,47.22692950628698,-103.85307846893556,45.494400808936916
12,-51.21079059994099,,-92.19508558418602,,-46.9972331451354,,-92.72549158334732,,-67.81688870675862,,-102.01999054872431,51.16711140668485,-102.12630840227939,50.71870730549563,-99.43467673333362,52.334664091060404
