,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
0,-314.6653900888323,,-98.28908486431465,,-101.03778802968736,,-100.38202583789825,,-100.94607372797327,,40.0773953787284,-353.4186209976906,-99.12689390633022,-1.664096026623156,-96.69929180317558,-6.83416498079896
1,-322.6737079171198,,-108.98895933711901,,-100.94768801990722,,-107.99658526736312,,-98.68884271857678,,40.82880783698056,-361.74168159696274,-101.47017172770575,0.5209594520856626,-108.86029540072195,15.981572981923819
2,-324.55640898302227,,-111.62013082532212,,-101.6695641585975,,-115.6458839327097,,-103.28370172186987,,38.68416643945966,-361.76876581588294,-105.85827607574174,3.7764055656152777,-106.53820937429555,5.218194459332153
3,-324.97099825656187,,-88.0210694191046,,-101.6896831702179,,-97.17532069981098,,-100.77608997793868,,68.50772362248972,-391.540738634998,-97.46878294862108,-3.7510372492251918,-94.2746427092934,-10.138850644929335
4,-318.7764133368091,,-86.8694241088815,,-98.18831785143993,,-93.60792040079832,,-100.23285480675986,,54.14572125533596,-371.42004369187634,-97.31790761009324,-0.7317077641491778,-89.55448084126692,-16.932775085559115
5,-325.1059949949031,,-110.90343500301242,,-101.42453270335682,,-111.37409434467554,,-101.48292256373679,,44.27264944498893,-367.7511940851109,-101.863999468158,0.44443532859440893,-102.17407108482439,1.0964107583276927
6,-324.2582653332174,,-108.3229380492121,,-101.69875362997118,,-106.41201889514923,,-103.38901838567108,,30.016392704681493,-352.9743099012412,-104.90257219155319,2.887470534304157,-104.13250126957428,1.2044237398076802
7,-320.2155785649011,,-100.18454583827406,,-99.43838597777358,,-99.04085543006659,,-96.43377105661784,,52.87558024330065,-371.04778962163255,-91.01502124394756,-7.504836740961764,-89.25713956460822,-11.180327724199742
8,-322.55100717745154,,-107.87871381593868,,-97.91483351979696,,-111.08296139538288,,-99.04981783381663,,42.456065819365904,-363.3057742303936,-103.74989437573822,5.299715278262738,-107.75397076120134,13.693575834156945
9,-324.46814768554214,,-101.00721506169066,,-100.90356052209972,,-95.7939635515213,,-97.99509903232683,,51.810151033103466,-374.2780422734795,-93.74547469173558,-6.377924938860815,-93.25192930549383,-7.408712736563757
10,-318.99252028783667,,-93.73685113433748,,-98.30743221881858,,-95.63687170296907,,-99.39265957224416,,55.81879012589343,-373.12865477905143,-98.94646990759065,0.6111199703882448,-96.22082114825025,-4.991041355300695
11,-323.27722314698985,,-81.28040208900347,,-101.88162164657842,,-88.6459731310606,,-98.15572621309548,,76.29386879550293,-397.67875189555343,-89.28245092142606,-11.240646789665334,-83.70619822177105,-22.31938548386097
