,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,38.98,46.502852939725685,31.455499399877326,87.76,91.91919079731947,83.60234186193561,0.94,1.0,0.8741732155597511
3,22.05,27.710181257063216,16.38274592214295,50.79,52.24297829969253,49.32854561916535,0.98,1.0,0.941194692918209
5,14.74,18.279800275447663,11.202966657378825,38.9,39.69385519867806,38.097267419363895,0.98,1.0,0.941194692918209
7,14.66,17.905111283282057,11.41095245497836,32.32,32.94395465782409,31.705653287084807,0.92,0.9951972564929183,0.8448027435070817
9,13.49,16.176058564091335,10.811414687765529,28.92,29.4016574662658,28.435562744837565,0.9,0.9831542294609807,0.8168457705390193
11,11.24,13.839737972219043,8.641817957132554,26.05,26.480365104514195,25.615408229677268,0.96,1.0,0.9056838847643437
13,8.86,10.764259522171312,6.959864771994209,23.74,24.013566315817826,23.468017477109633,0.94,1.0,0.8741732155597511
15,9.15,11.089376509235313,7.201454447853307,22.01,22.301354016473432,21.721610106209177,0.94,1.0,0.8741732155597511
17,8.01,9.42119775403214,6.592612768840816,20.77,20.98086847090839,20.552672026425498,0.98,1.0,0.941194692918209
19,8.4,10.307986257158275,6.491697794005221,19.93,20.165979574164066,19.686244521574718,0.94,1.0,0.8741732155597511
21,8.12,9.990477853369828,6.245328340820108,18.78,19.002810588953125,18.555764162774715,0.94,1.0,0.8741732155597511
