,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,12.6,15.228798246934357,9.97818219867414,34.37,34.92708216062463,33.81957119150997,0.96,1.0,0.9056838847643437
3,9.11,11.102460212965639,7.124288216636373,19.71,19.928832943878387,19.491782121202224,0.9,0.9831542294609807,0.8168457705390193
5,5.19,6.180196759596431,4.203766114592588,15.32,15.427528519023728,15.205834609801318,0.98,1.0,0.941194692918209
7,5.38,6.4007599813483615,4.3653517789214895,12.98,13.071963930231707,12.88642371176779,0.98,1.0,0.941194692918209
9,4.3,5.178118069752538,3.4231501210448796,11.43,11.487672254957506,11.371776778999717,0.96,1.0,0.9056838847643437
11,3.57,4.2706052981691265,2.869348741583357,10.33,10.37397470567056,10.281324411030488,1.0,1.0,1.0
13,3.8,4.503767159408007,3.0956641663386932,9.53,9.571279201949416,9.481107833308961,0.98,1.0,0.941194692918209
15,3.48,4.192336213012711,2.7717265654154857,8.86,8.89675004578057,8.81661079394196,0.98,1.0,0.941194692918209
17,3.08,3.737715632793433,2.416770267310613,8.31,8.341012797878582,8.273213224133945,0.96,1.0,0.9056838847643437
19,2.93,3.640309722434104,2.2272348238422275,7.86,7.900367346276247,7.827217297583803,0.92,0.9951972564929183,0.8448027435070817
21,3.35,3.8859559034519697,2.8140237688682173,7.47,7.503064274402348,7.43586867639274,1.0,1.0,1.0
