,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,12.56,14.924761523515997,10.186896827195227,25.81,26.83698391264037,24.776362992732693,0.86,0.9561781307794628,0.7638218692205372
3,6.54,8.03752974750026,5.038497609838202,16.95,17.472568857408366,16.424028400561692,0.92,0.9951972564929183,0.8448027435070817
5,5.21,6.169168767478819,4.250660862357785,13.58,13.900271893815278,13.250187593492806,1.0,1.0,1.0
7,4.48,5.585023770726151,3.3802078601691363,11.55,11.875433111191569,11.228283795009279,0.94,1.0,0.8741732155597511
9,4.86,5.946302231512221,3.7799058166293404,10.09,10.31914533809203,9.859295511325096,0.84,0.9416161468961789,0.738383853103821
11,4.42,5.42747660052127,3.403113577150715,9.44,9.644542731057564,9.23620210462085,0.9,0.9831542294609807,0.8168457705390193
13,3.76,4.513883791282443,3.015322254155161,8.65,8.807462055038247,8.484939533025507,0.94,1.0,0.8741732155597511
15,3.85,4.623139245216863,3.0795807974085796,8.15,8.28024629116399,8.02273731997927,0.94,1.0,0.8741732155597511
17,3.52,4.24567578112647,2.7892468950484326,7.57,7.69376762946963,7.444171871936667,0.9,0.9831542294609807,0.8168457705390193
19,2.9,3.5800394900838333,2.210906266123387,7.21,7.308603544216208,7.102819344373167,0.92,0.9951972564929183,0.8448027435070817
21,2.9,3.466981712157866,2.3429847935614823,6.88,6.984038209784812,6.778654583641012,0.92,0.9951972564929183,0.8448027435070817
