,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,13.2,16.45270382970785,9.95109655556987,34.48,35.11618714806423,33.83661182165177,0.96,1.0,0.9056838847643437
3,9.86,11.745339040351785,7.968767400294789,19.79,20.03864681517708,19.54621966778145,0.92,0.9951972564929183,0.8448027435070817
5,7.34,8.719715935706882,5.964089130863759,15.37,15.502543677837394,15.232404395307046,0.96,1.0,0.9056838847643437
7,4.72,5.726472406555795,3.722459646816469,12.92,12.987624481615232,12.84456244037548,0.98,1.0,0.941194692918209
9,4.69,5.54800597257021,3.826975437560649,11.51,11.57310412619846,11.442759619859588,0.98,1.0,0.941194692918209
11,4.54,5.386350086737785,3.696055898185458,10.37,10.429236014350298,10.311955846010342,0.94,1.0,0.8741732155597511
13,4.11,4.932844288889261,3.295041448092145,9.53,9.578296198217839,9.482050634380172,0.92,0.9951972564929183,0.8448027435070817
15,3.4,4.165078428793914,2.6276273006608415,8.88,8.926082698006596,8.839687960447208,0.92,0.9951972564929183,0.8448027435070817
17,3.27,4.003887767018028,2.531674474804452,8.33,8.36750575591513,8.299006699644767,0.98,1.0,0.941194692918209
19,3.61,4.21051212136557,3.0022908951629175,7.91,7.9448291502143995,7.877360100111254,0.94,1.0,0.8741732155597511
21,3.12,3.8421510672964914,2.406967739944829,7.48,7.509220062096284,7.4449852423522165,0.9,0.9831542294609807,0.8168457705390193
