,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,23.79,27.938556250958115,19.638979873964217,52.59,54.321018073834935,50.86697206976946,0.98,1.0,0.941194692918209
3,11.56,13.805794796401285,9.323452636136091,29.9,30.381334074773907,29.424215510325762,0.96,1.0,0.9056838847643437
5,10.09,11.937564254329768,8.243925871046962,22.99,23.31587312191048,22.664815381133845,0.96,1.0,0.9056838847643437
7,7.27,9.084698496238502,5.462141765746114,19.65,19.862021357583956,19.43075266065442,0.96,1.0,0.9056838847643437
9,7.77,9.269498947186648,6.270888621790083,17.29,17.497874954908625,17.079100331245286,0.92,0.9951972564929183,0.8448027435070817
11,7.44,8.864698186424294,6.008688917122118,15.49,15.661594279097258,15.318620941809996,0.9,0.9831542294609807,0.8168457705390193
13,5.87,6.953331484718261,4.777456082815291,14.45,14.584160297700288,14.32199708853249,1.0,1.0,1.0
15,5.66,6.899898968004379,4.423323889355418,13.42,13.540524888757133,13.306894322638414,0.88,0.9700730871531891,0.7899269128468109
17,5.56,6.805369342750869,4.31877563858498,12.66,12.771963235101484,12.545246078224842,0.96,1.0,0.9056838847643437
19,4.54,5.618424930115223,3.4520071576265696,11.87,11.952299635437761,11.780085284047534,0.94,1.0,0.8741732155597511
21,4.53,5.524978587357861,3.528074340791839,11.34,11.426105590729978,11.259679929795826,0.94,1.0,0.8741732155597511
