,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,12.61,15.0770475269709,10.14702066509456,25.89,26.30854423714599,25.47058024801412,0.94,1.0,0.8741732155597511
3,7.36,8.985759876208876,5.731324253630911,15.15,15.301830764452227,14.99827463752618,0.92,0.9951972564929183,0.8448027435070817
5,4.69,5.814508476252385,3.5718944147790803,11.72,11.790411447967188,11.659195606352235,0.9,0.9831542294609807,0.8168457705390193
7,5.2,6.279883843933491,4.117601052012618,9.92,9.979028332059457,9.852862241216663,0.9,0.9831542294609807,0.8168457705390193
9,3.26,3.9761140720425927,2.5376422396189713,8.82,8.855892128263646,8.775039001062018,0.96,1.0,0.9056838847643437
11,3.11,3.816828218170487,2.4065289235010985,7.96,8.001147656874684,7.922272686365136,0.94,1.0,0.8741732155597511
13,3.21,3.945473734627987,2.470837997339157,7.31,7.349000563646504,7.280574885632875,0.94,1.0,0.8741732155597511
15,2.55,3.1311243109994797,1.9609385220826838,6.81,6.833376481958663,6.780692926086649,0.96,1.0,0.9056838847643437
17,3.03,3.6035247643481716,2.456187478793086,6.39,6.422123967062848,6.361261537245437,0.94,1.0,0.8741732155597511
19,2.65,3.223999134874141,2.067369453577155,6.02,6.044220876557739,6.003844520558417,0.9,0.9831542294609807,0.8168457705390193
21,2.15,2.6416000824681394,1.659850474318591,5.74,5.756625910195744,5.7248690347625075,0.94,1.0,0.8741732155597511
