alpha_demand,alpha_wind,error
0.0,0.0,-0.08
0.0,0.111,-0.08
0.0,0.222,0.07
0.0,0.333,0.21
0.0,0.444,0.22
0.0,0.555,0.03
0.0,0.666,-0.13
0.0,0.777,0.44
0.0,0.888,0.4
0.0,0.999,0.0
0.111,0.0,-0.17
0.111,0.111,-1.31
0.111,0.222,-2.33
0.111,0.333,-3.82
0.111,0.444,-5.24
0.111,0.555,-6.75
0.111,0.666,-8.72
0.111,0.777,-9.0
0.111,0.888,-11.5
0.111,0.999,-12.5
0.222,0.0,-0.05
0.222,0.111,-2.46
0.222,0.222,-4.83
0.222,0.333,-8.31
0.222,0.444,-11.42
0.222,0.555,-14.07
0.222,0.666,-17.12
0.222,0.777,-20.92
0.222,0.888,-24.1
0.222,0.999,-28.57
0.333,0.0,0.02
0.333,0.111,-3.7
0.333,0.222,-8.09
0.333,0.333,-12.55
0.333,0.444,-17.83
0.333,0.555,-22.73
0.333,0.666,-28.44
0.333,0.777,-34.47
0.333,0.888,-40.62
0.333,0.999,-50.0
0.444,0.0,-0.07
0.444,0.111,-5.23
0.444,0.222,-10.87
0.444,0.333,-17.38
0.444,0.444,-24.14
0.444,0.555,-32.97
0.444,0.666,-41.85
0.444,0.777,-52.19
0.444,0.888,-64.85
0.444,0.999,-80.0
0.555,0.0,0.35
0.555,0.111,-6.5
0.555,0.222,-14.1
0.555,0.333,-22.96
0.555,0.444,-32.99
0.555,0.555,-44.25
0.555,0.666,-59.0
0.555,0.777,-75.86
0.555,0.888,-98.39
0.555,0.999,-124.99
0.666,0.0,0.14
0.666,0.111,-7.63
0.666,0.222,-17.24
0.666,0.333,-28.26
0.666,0.444,-41.88
0.666,0.555,-58.4
0.666,0.666,-80.1
0.666,0.777,-108.03
0.666,0.888,-141.1
0.666,0.999,-200.0
0.777,0.0,0.3
0.777,0.111,-9.25
0.777,0.222,-20.42
0.777,0.333,-34.57
0.777,0.444,-52.79
0.777,0.555,-75.84
0.777,0.666,-106.4
0.777,0.777,-151.84
0.777,0.888,-220.73
0.777,0.999,-349.99
0.888,0.0,-0.05
0.888,0.111,-10.48
0.888,0.222,-24.21
0.888,0.333,-41.28
0.888,0.444,-66.16
0.888,0.555,-97.52
0.888,0.666,-143.49
0.888,0.777,-221.78
0.888,0.888,-374.2
0.888,0.999,-799.98
0.999,0.0,-0.6
0.999,0.111,-12.31
0.999,0.222,-28.92
0.999,0.333,-50.02
0.999,0.444,-80.9
0.999,0.555,-125.23
0.999,0.666,-201.4
0.999,0.777,-352.1
0.999,0.888,-773.47
0.999,0.999,-15764433.97
