,I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),"I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()"
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
-0.249,-99.79103503940178,-98.4333609615835,-100.9949635849363,-115.42558330561624,-113.65997293483743,-117.19098868678375,-98.53696298591021,-84.89562270456808,-107.16747951332945
-0.1866,-100.06817176134282,-99.10753950404778,-101.36442929132372,-111.67363091267688,-110.31013431912325,-113.36037198847262,-97.72221063059779,-88.78436766820668,-108.58076804947923
-0.1242,-99.96660896455842,-98.13776675495497,-101.3799184308732,-107.36139709690687,-105.63150792722408,-108.92548565149227,-95.29885141118575,-83.27748042402091,-106.92400869741978
-0.06180000000000002,-100.02140241126862,-98.67880210843273,-101.1548968551916,-103.69524115809618,-102.49451840848414,-105.21462522401671,-99.05549350161382,-89.5759302259772,-108.97150495846873
0.0005999999999999894,-100.07327135831056,-98.91595019801521,-101.03290106264322,-100.16450680692432,-98.92207357463376,-101.3348573572639,-99.79332582266798,-93.33505487346555,-106.57491939695319
0.063,-99.98154686881753,-99.11810242530115,-101.03167971483904,-96.16937623861195,-95.02765443871613,-97.10601847660364,-97.55247748965557,-87.64275818499445,-106.90062050148917
0.12539999999999996,-99.9178153433681,-98.85777573149025,-100.8406615480138,-92.49672685536207,-91.10620709178693,-93.88070658514698,-96.77873783536052,-81.60570866371127,-110.2451678395737
0.18779999999999997,-100.24854239688447,-99.27021317306098,-101.15225964406554,-89.16152512964581,-88.02070303784676,-90.54788066188739,-96.91349306048433,-91.02026756298801,-102.2258669767878
0.2502,-99.95611119945079,-98.40164485598234,-102.04890998737046,-84.7973944556361,-83.11065519176445,-86.51590548486892,-96.85686537202855,-85.93615658469498,-107.28332125159213
0.3126,-100.00336406032329,-98.48119371477215,-102.34769267931979,-81.23186621837922,-79.88494980846045,-82.51574570787088,-97.61267156716494,-80.7604666030209,-108.17668178039602
0.375,-99.82764897701163,-98.14150006668133,-101.01807308043439,-76.78372040136529,-75.285539178209,-77.99086786246698,-98.23625713510664,-90.6886498691747,-104.24384687600832
0.4374,-100.06325585552322,-98.44375092130967,-101.44585519884917,-72.53080492863774,-71.19228219265605,-74.09367504003058,-95.53591679385495,-80.46731339205289,-111.99269350463291
0.4997999999999999,-99.92790456919374,-97.58955581231199,-102.8269768976968,-68.07424619719896,-66.53467055106739,-69.98722426934728,-98.00732457449195,-85.75587673800183,-108.07152575275396
0.5621999999999999,-100.00937954075702,-97.97757832035931,-101.78715352759691,-62.68546928272699,-61.397829123625705,-63.799593965007446,-95.32245007798811,-87.70270687488956,-111.87994399397867
0.6245999999999999,-100.06293287120889,-97.94743462104444,-102.32764880321038,-57.37523733366379,-55.95013322122977,-58.292099901886104,-98.1707744186635,-85.79160614014835,-114.00756414158968
0.6869999999999999,-99.53553545655791,-96.38367539439741,-101.70873839001187,-50.54583628468263,-48.69227391873701,-51.963155692137114,-95.66309335373516,-82.85117478510365,-108.24060540150386
0.7494,-99.66788898116197,-94.62505727170087,-102.80047734718747,-43.6350159080117,-41.700449156134894,-44.92324332870849,-94.57097887777782,-85.13864632868498,-103.26713621735689
0.8118,-100.65620847798009,-97.32861876083999,-104.23286355267237,-35.844200433765856,-34.614171927550885,-37.03341849138733,-97.02182621126558,-84.16987467530998,-108.23643529657275
0.8742,-99.33292315165568,-91.79466569268875,-105.53866184708731,-26.18370591537289,-24.397338855235535,-27.803016467237377,-100.52009097385744,-87.60925197271862,-116.90493381868873
0.9366,-100.35822389994833,-88.52659574229169,-111.84931677567474,-14.732539398500966,-13.148955781837458,-16.175158761170042,-97.24835053563766,-84.77382916096248,-111.33597452646354
0.999,-107.18709490994061,91.34866789907602,-315.7591880144579,-0.5880494662822457,0.20412976294501278,-1.035209093465164,-96.82702714944735,-87.86658632721664,-104.35199780729018
