,I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0:W26)-E(P0)-C(),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),I(W0)-E(P0)-C(D1:D1),"I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()","I(W0:W26)-E(P0:P1, D1)-C()"
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
-0.249,-80.2528530448088,-79.63194665940414,-80.96857978471903,-100.13266650869772,-99.10380032963585,-101.18627288339704,-98.86937740935646,-87.9797509287484,-105.12779060478788
-0.1866,-84.22089845534633,-83.42081114852222,-85.10770005937256,-99.72134044027189,-98.82998472915133,-100.46344317296462,-98.46671829931438,-90.95639123675355,-107.85224420621526
-0.1242,-89.0893322646904,-88.37235722295364,-89.83428504528187,-100.10436839858448,-98.82202310684298,-101.63164222553533,-98.17295623921382,-91.06489086751535,-104.00245917904249
-0.06180000000000002,-94.3028777966916,-93.31969271759935,-95.36974938290072,-100.15364417730889,-99.10293308904802,-101.44753959307127,-97.34003744502552,-87.76423909061123,-105.5824859250919
0.0005999999999999894,-100.10806911658901,-99.48538571345307,-100.67467327304603,-99.85950612067317,-99.15254262710296,-100.48532851224736,-97.5985124317056,-91.22723379949457,-103.9282781032438
0.063,-106.62722785325113,-105.49965800103719,-107.60880949300099,-99.98928954096482,-98.44733004201044,-101.14589434389708,-98.03975315406169,-88.84553192647873,-103.99491878256086
0.12539999999999996,-114.17821939208984,-113.31390512314101,-115.08790446871144,-99.83588126752583,-98.65779310026555,-101.02210671131179,-99.97187076490664,-87.05544930113247,-107.38611533193325
0.18779999999999997,-123.05771980969466,-122.32539417176277,-123.88882920452834,-100.13410976165179,-99.0608531331025,-101.23879346835383,-101.7075779543724,-94.3298929777462,-110.81636594226002
0.2502,-133.1075683116983,-131.8802152706212,-134.60643737238615,-100.2539638677561,-99.35773871724959,-101.42613128516459,-98.69449485359947,-89.35391723529901,-106.3771878782427
0.3126,-144.3427550560752,-143.0532556610733,-145.58650489876908,-99.70616042816327,-98.3898027331481,-101.07193535739498,-97.65410761836684,-85.8510828404338,-109.96407232785131
0.375,-158.68672531070288,-156.94879780611762,-160.05012082610182,-99.8746864180146,-98.30816201599664,-100.97111316111186,-101.60223401715048,-94.25394491791957,-110.33726273071952
0.4374,-175.23399698189388,-173.2629460071481,-176.78407995037043,-99.68042923734902,-98.33995734329801,-100.96971870485068,-92.77080010001664,-81.58973985825432,-107.03653625788283
0.4997999999999999,-197.10292262843922,-195.20637912914844,-199.77814150674368,-100.27603876633802,-98.91474057150553,-102.74394777628694,-101.63277307266836,-91.53703104534652,-114.72684872052051
0.5621999999999999,-223.67721760891783,-221.18037620018822,-226.65653144650588,-99.88526308427826,-98.66375558291838,-101.43928894882193,-94.55214714140166,-82.64109020417672,-105.47606884005945
0.6245999999999999,-258.3688191850382,-256.0251666655752,-261.0583840426251,-100.17378120934445,-99.19670438648026,-101.27103478421122,-98.62615509954048,-89.726172902697,-109.19267703795921
0.6869999999999999,-305.30369675429483,-302.1035694756156,-308.4737862669499,-99.76956445615288,-97.967407189004,-101.00644346159898,-97.03517365168082,-89.38332676926511,-104.07834692730103
0.7494,-371.3307508552809,-366.6821606333373,-375.4202686269083,-100.26287368200428,-98.88901266646789,-101.359160536548,-96.75456763815018,-86.04524669290986,-106.34841496657464
0.8118,-467.3433321556631,-456.59118845208957,-475.181653528561,-100.00840678281675,-97.93246865303372,-101.35134709285776,-100.93820606149384,-91.16160458275117,-108.52318251172255
0.8742,-616.4452282698252,-602.1051581781594,-630.0301027183057,-100.04686070857497,-98.279983363453,-103.02587485887162,-100.38826731074805,-86.39018689505319,-106.82543914735433
0.9366,-755.1263796093699,-698.1063955204397,-791.3314447261127,-99.65236084635217,-97.89193265469603,-101.44130729486861,-98.12340746798654,-91.1429167705137,-105.1663730765944
0.999,-72.37153148181787,-25.029245703874764,-111.7109300619497,-100.0191311532104,-98.83449513630603,-101.63440158556523,-98.37278833638084,-88.39075912276384,-109.24275724947002
